OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"30393","1959",,,"1",,164.853851318359347,"00000003"
"30395","1959",1959/09/13,,"9",,3118.445800781250000,"00000091"
"30396","1959",,,"14",,465.955657958984375,"00000134"
"30398","1959",1959/11/08,,"14",,56.728431701660163,"00000000"
"30399","1959",1959/08/09,,"14",,45.555389404296875,"00000000"
"30402","1959",1959/08/21,,"14",,25.276590347290039,"00000000"
"30403","1959",1959/10/17,,"14",,6.693686485290528,"00000000"
"30404","1959",1959/10/18,,"14",,450.100006103515625,"00000000"
"30405","1959",1959/10/18,,"14",,2685.718750000000000,"00000000"
"30406","1972",1972/07/09,,"14",,29.692216873168945,"00000000"
"30407","1937",,,"14",,137.662521362304688,"00000001"
"30408","1937",,,"14",,378.281158447265625,"00000005"
"30409","1939",,,"14",,628.310668945312500,"00000002"
"30410","1939",,,"14",,135.705886840820312,"00000001"
"30425","1961",1961/07/24,,"14",,470.326934814453125,000000C6
"30426","1969",1969/08/26,,"14",,75.141906738281250,"00000000"
"30427","1969",1969/07/16,,"14",,33.094635009765625,"00000000"
"30428","1969",1969/10/04,,"14",,39.106243133544922,"00000000"
"30430","1969",1969/09/10,,"14",,71.952278137207031,"00000000"
"30431","1969",1969/09/05,,"14",,172.796081542968750,"00000000"
"30432","1969",1969/10/04,,"14",,57.964141845703125,"00000000"
"30433","1969",1969/07/10,,"14",,9.818458557128906,"00000000"
"30434","1969",1969/08/21,,"14",,42.874504089355469,"00000000"
"30435","1969",1969/06/29,,"14",,23.021144866943359,"00000000"
"30436","1969",1969/09/08,,"14",,26.818246841430664,"00000000"
"30437","1969",1969/10/12,,"14",,40.182125091552734,"00000000"
"30438","1969",1969/10/05,,"14",,30.989330291748047,"00000000"
"30439","1969",1969/10/05,,"14",,69.916305541992188,"00000000"
"30441","1974",1974/06/28,,"14",,123.472145080566406,"00000094"
"30442","1974",1974/06/07,,"14",,183.387588500976562,"00000741"
"30443","1974",1974/06/23,,"14",,796.321105957031250,"00000083"
"30444","1974",1974/08/19,,"14",,1700.201293945312500,"00000000"
"30445","1978",1978/07/30,,"14",,3.651869773864746,"00000000"
"30446","1978",1978/07/09,,"14",,36.507617950439453,"00000000"
"30448","1984",1984/03/29,1984/03/30,"7",1590.000000000000000,1545.408203125000000,"00000000"
"30449","1984",1984/07/08,1984/07/08,"7",20.000000000000000,20.067590713500977,"00000000"
"30452","1988",1988/10/06,1988/10/06,"7",35.000000000000000,33.683357238769531,"0000D044"
"30453","1988",1988/07/17,1988/07/18,"2",133.000000000000000,127.662399291992188,"0000D211"
"30454","1988",1988/06/20,1988/06/22,"1",3650.000000000000000,3649.375244140625000,"0000D191"
"30455","1988",1988/04/08,1988/04/08,"18",860.000000000000000,979.042846679687500,"0000D170"
"30456","1988",1988/06/21,1988/06/24,"1",1900.000000000000000,1770.672485351562500,"0000D200"
"30457","1988",1988/06/19,1988/06/20,"1",1100.000000000000000,3806.062744140625000,"0000D201"
"30458","2003",2003/08/25,2003/12/31,"1",6721.000000000000000,4761.220214843750000,"00000052"
